Name,Rolls,Current Substation (from Rolls),record_id,Width Average (mm)
CC270 - R10957: X - Resonance Order : CC270,R10957: CC270,Material Prep,recBeJMNahcq8WLWN,1590.0
CC270 - R11487: X - Resonance Order : CC270,R11487: CC270,Material Prep,recUcOmN4RTVT36q6,1593.3
CC270 - R10975: X - Resonance Order : CC270,R10975: CC270,Scour: Dry,rec7BN6h8ems2HS2V,1570.0
CC270 - R10965: X - Resonance Order : CC270,R10965: CC270,Material Prep,recO1RwSVWIp7AkUc,1590.0
CC270 - R11473: X - Resonance Order : CC270,R11473: CC270,Material Prep,recnV9nbCTHdbcSxf,1590.0
CC270 - R10970: X - Resonance Order : CC270,R10970: CC270,Material Prep,recZVwIAvfofYu5mh,1550.0
CC270 - R53975: X - Resonance Order : CC270,R53975: CC270,Material Prep,recm9HwAq1zhQQk49,1550.0
CDCBM - R34965: X - PO-4928,R34965: CDCBM,Pretreatment,recQ6DgQPZYSWEb4F,1370.0
CDCBM - R40279: X - PO-5186,R40279: CDCBM,Material Prep,recJf89xk1hpIM3wp,1400.0
CDCBM - R40282: X - PO-5186,R40282: CDCBM,Material Prep,recGEmYjkFqVkMo3d,1405.0
CDCBM - R40290: X - PO-5186,R40290: CDCBM,Material Prep,reck53tAZLOS58kxY,1385.0
CDCBM - R40288: X - PO-5186,R40288: CDCBM,Material Prep,recbEekw2acwqOtJ2,1400.0
CDCBM - R40228: X - PO-5186,R40228: CDCBM,Material Prep,recnvaC4xAFDfElCQ,1390.0
CDCBM - R40292: X - PO-5186,R40292: CDCBM,Material Prep,recwV65wSRdLgmPd7,1380.0
CDCBM - R40297: X - PO-5186,R40297: CDCBM,Material Prep,rec1e8YHhZVRaVHNH,1390.0
CDCBM - R40294: X - PO-5186,R40294: CDCBM,Material Prep,recaTmQ0rHoBD1e4I,1390.0
CDCBM - R40307: X - PO-5186,R40307: CDCBM,Material Prep,recAheHaNypYoL3oB,1400.0
CDCBM - R40309: X - PO-5186,R40309: CDCBM,Material Prep,recjvw05DFGFa6eSu,1390.0
CDCBM - R40310: X - PO-5186,R40310: CDCBM,Material Prep,rec93k9chrFqU0cVO,1390.0
CDCBM - R48982: X - PO-5186,R48982: CDCBM,Material Prep,recK0YdHFGFzZMXpf,1416.7
CDCBM - R49021: X - PO-5186,R49021: CDCBM,Material Prep,recFbP4YXM7r4pkD1,1403.3
CDCBM - R49076: X - PO-5186,R49076: CDCBM,Material Prep,recZYm0dRBNck3CEe,1396.7
CDCBM - R40313: X - PO-5186,R40313: CDCBM,Material Prep,recp782249VCysCOF,1393.3
CDCBM - R40316: X - PO-5186,R40316: CDCBM,Material Prep,recuEmbBqJ9Ap1Gzq,1379.0
CDCBM - R40318: X - PO-5186,R40318: CDCBM,Material Prep,recDut4r2THSEpNnF,1400.0
CDCBM - R49234: X - PO-5186,R49234: CDCBM,Material Prep,reccMTVSpdY4bny8M,1400.0
CDCBM - R40320: X - PO-5186,R40320: CDCBM,Material Prep,recqQhJFN5Xd2iOv9,1396.7
CDCBM - R49352: X - PO-5186,R49352: CDCBM,Material Prep,recFZWcVkgMyQeWHs,1400.0
CDCBM - R40337: X - PO-5186,R40337: CDCBM,Material Prep,recl0RHRsas1yCpTq,1394.0
CDCBM - R40327: X - PO-5186,R40327: CDCBM,Material Prep,receYBUEZ8Mldf8S9,1400.0
CDCBM - R40329: X - PO-5186,R40329: CDCBM,Material Prep,recw0DBe64NWQTd3v,1400.0
CDCBM - R45191: X - PO-5186,R45191: CDCBM,Material Prep,recGAmKXwJxiCJxe8,1400.0
